+-------+------------+---------------------+
| id    | time       | number              |
| 1.1.4 | 2024-06-01 |                21.7 |
| 1.1.4 | 2024-07-01 |                21.7 |
| 1.1.4 | 2024-08-01 |                21.7 |
| 1.1.4 | 2024-09-01 |                21.7 |
| 1.1.4 | 2024-10-01 |                21.7 |
| 1.1.4 | 2024-11-01 |                21.7 |
| 1.1.4 | 2024-12-01 |                21.7 |
| 1.1.4 | 2025-01-01 |                21.7 |
| 1.1.4 | 2025-02-01 |                21.7 |
| 1.1.4 | 2025-03-01 |                21.7 |
| 1.1.4 | 2025-04-01 |                21.7 |
| 1.1.4 | 2025-05-01 |                21.7 |
| 1.2.1 | 2018-10-01 |                  70 |
| 1.2.1 | 2018-11-01 |                 143 |
| 1.2.1 | 2018-12-01 |                 143 |
| 1.2.1 | 2019-01-01 |                 143 |
| 1.2.1 | 2019-02-01 |                 144 |
| 1.2.1 | 2019-03-01 |                 144 |
| 1.2.1 | 2019-04-01 |                 144 |
| 1.2.1 | 2019-05-01 |                 144 |
| 1.2.1 | 2019-06-01 |                 148 |
| 1.2.1 | 2019-07-01 |                 239 |
| 1.2.1 | 2019-08-01 |                 366 |
| 1.2.1 | 2019-09-01 |                 822 |
| 1.2.1 | 2019-10-01 |                 887 |
| 1.2.1 | 2019-11-01 |                1091 |
| 1.2.1 | 2019-12-01 |                1091 |
| 1.2.1 | 2020-01-01 |                1287 |
| 1.2.1 | 2020-02-01 |                1287 |
| 1.2.1 | 2020-03-01 |                1291 |
| 1.2.1 | 2020-04-01 |                1319 |
| 1.2.1 | 2020-05-01 |                1332 |
| 1.2.1 | 2020-06-01 |                1370 |
| 1.2.1 | 2020-07-01 |                1379 |
| 1.2.1 | 2020-08-01 |                1379 |
| 1.2.1 | 2020-09-01 |                1379 |
| 1.2.1 | 2020-10-01 |                 496 |
| 1.2.1 | 2020-11-01 |                 496 |
| 1.2.1 | 2020-12-01 |                 509 |
| 1.2.1 | 2021-01-01 |                 511 |
| 1.2.1 | 2021-02-01 |                 516 |
| 1.2.1 | 2021-03-01 |                 516 |
| 1.2.1 | 2021-04-01 |                 516 |
| 1.2.1 | 2021-05-01 |                 516 |
| 1.2.1 | 2021-06-01 |                 542 |
| 1.2.1 | 2021-07-01 |                 543 |
| 1.2.1 | 2021-08-01 |                 548 |
| 1.2.1 | 2021-09-01 |                 551 |
| 1.2.1 | 2021-10-01 |                 546 |
| 1.2.1 | 2021-11-01 |                 546 |
| 1.2.1 | 2021-12-01 |                 772 |
| 1.2.1 | 2022-01-01 |                4435 |
